Release Date,Report Month,Time,Actual%,Forecast%,Previous%
01/01/1985,Dec,04:00,2.13,,2.04
01/12/1984,Nov,04:00,2.04,,0.57
01/11/1984,Oct,04:00,0.57,,1.1
01/10/1984,Sep,04:00,1.1,,0.38
01/09/1984,Aug,04:00,0.38,,1.22
01/08/1984,Jul,04:00,1.22,,1.61
01/07/1984,Jun,04:00,1.61,,1.4
01/06/1984,May,04:00,1.4,,1.99
01/05/1984,Apr,04:00,1.99,,1.78
01/04/1984,Mar,04:00,1.78,,1.34
01/03/1984,Feb,04:00,1.34,,1.39
01/02/1984,Jan,04:00,1.39,,0.49
01/01/1984,Dec,04:00,0.49,,1.05
01/12/1983,Nov,04:00,1.05,,1.65
01/11/1983,Oct,04:00,1.65,,0.82
01/10/1983,Sep,04:00,0.82,,-0.08
01/09/1983,Aug,04:00,-0.08,,0.79
01/08/1983,Jul,04:00,0.79,,0.72
01/07/1983,Jun,04:00,0.72,,2.52
01/06/1983,May,04:00,2.52,,3.06
01/05/1983,Apr,04:00,3.06,,2.27
01/04/1983,Mar,04:00,2.27,,1.18
01/03/1983,Feb,04:00,1.18,,1.05
01/02/1983,Jan,04:00,1.05,,0.84
01/01/1983,Dec,04:00,0.84,,1.19
01/12/1982,Nov,04:00,1.19,,1.84
01/11/1982,Oct,04:00,1.84,,1.59
01/10/1982,Sep,04:00,1.59,,1.2
01/09/1982,Aug,04:00,1.2,,1.32
01/08/1982,Jul,04:00,1.32,,2.23
01/07/1982,Jun,04:00,2.23,,2.64
01/06/1982,May,04:00,2.64,,2.58
01/05/1982,Apr,04:00,2.58,,2.3
01/04/1982,Mar,04:00,2.3,,2.17
01/03/1982,Feb,04:00,2.17,,1.83
01/02/1982,Jan,04:00,1.83,,1.46
01/01/1982,Dec,04:00,1.46,,1.57
01/12/1981,Nov,04:00,1.57,,1.24
01/11/1981,Oct,04:00,1.24,,0.72
01/10/1981,Sep,04:00,0.72,,1.27
01/09/1981,Aug,04:00,1.27,,1.85
01/08/1981,Jul,04:00,1.85,,2.72
01/07/1981,Jun,04:00,2.72,,2.63
01/06/1981,May,04:00,2.63,,2.38
01/05/1981,Apr,04:00,2.38,,2.75
01/04/1981,Mar,04:00,2.75,,2.93
01/03/1981,Feb,04:00,2.93,,2.09
01/02/1981,Jan,04:00,2.09,,1.37
01/01/1981,Dec,04:00,1.37,,2.17
01/12/1980,Nov,04:00,2.17,,2.22
01/11/1980,Oct,04:00,2.22,,1.66
01/10/1980,Sep,04:00,1.66,,0.8
01/09/1980,Aug,04:00,0.8,,1.01
01/08/1980,Jul,04:00,1.01,,1.23
01/07/1980,Jun,04:00,1.23,,3.47
01/06/1980,May,04:00,3.47,,3.82
01/05/1980,Apr,04:00,3.82,,2.1
01/04/1980,Mar,04:00,2.1,,1.06
01/03/1980,Feb,04:00,1.06,,2.33
01/02/1980,Jan,04:00,2.33,,1.66
01/01/1980,Dec,04:00,1.66,,2.42
01/12/1979,Nov,04:00,2.42,,1.39
01/11/1979,Oct,04:00,1.39,,2.18
01/10/1979,Sep,04:00,2.18,,1.79
01/09/1979,Aug,04:00,1.79,,1.29
01/08/1979,Jul,04:00,1.29,,1.67
01/07/1979,Jun,04:00,1.67,,2.15
01/06/1979,May,04:00,2.15,,1.83
01/05/1979,Apr,04:00,1.83,,4.09
01/04/1979,Mar,04:00,4.09,,1.84
01/03/1979,Feb,04:00,1.84,,3.3
01/02/1979,Jan,04:00,3.3,,1.14
01/01/1979,Dec,04:00,1.14,,1.4
01/12/1978,Nov,04:00,1.4,,2.07
01/11/1978,Oct,04:00,2.07,,0.42
01/10/1978,Sep,04:00,0.42,,0.14
01/09/1978,Aug,04:00,0.14,,-0.27
01/08/1978,Jul,04:00,-0.27,,2.54
01/07/1978,Jun,04:00,2.54,,2.3
01/06/1978,May,04:00,2.3,,1.62
01/05/1978,Apr,04:00,1.62,,3.2
01/04/1978,Mar,04:00,3.2,,1.46
01/03/1978,Feb,04:00,1.46,,1.07
01/02/1978,Jan,04:00,1.07,,0.46
