Date,Close,Open,High,Low,Change%
2013-01-25,4.766,4.766,4.766,4.766,0.13%
2013-01-24,4.76,4.76,4.76,4.76,-0.19%
2013-01-23,4.769,4.769,4.769,4.769,-0.79%
2013-01-22,4.807,4.807,4.807,4.807,-0.10%
2013-01-21,4.812,4.812,4.812,4.812,-1.05%
2013-01-18,4.863,4.863,4.863,4.863,1.25%
2013-01-17,4.803,4.803,4.803,4.803,-0.02%
2013-01-16,4.804,4.804,4.804,4.804,-2.00%
2013-01-15,4.902,4.902,4.902,4.902,0.27%
2013-01-14,4.889,4.889,4.889,4.889,-0.85%
2013-01-11,4.931,4.931,4.931,4.931,0.43%
2013-01-10,4.91,4.91,4.91,4.91,-1.25%
2013-01-09,4.972,4.972,4.972,4.972,-1.35%
2013-01-08,5.04,5.04,5.04,5.04,-2.23%
2013-01-04,5.155,5.155,5.155,5.155,-0.08%
2013-01-03,5.159,5.159,5.159,5.159,-0.33%
2013-01-02,5.176,5.176,5.176,5.176,0.72%
2012-12-28,5.139,5.139,5.139,5.139,-0.77%
2012-12-27,5.179,5.179,5.179,5.179,0.70%
2012-12-26,5.143,5.143,5.143,5.143,0.84%
2012-12-24,5.1,5.1,5.1,5.1,-1.33%
2012-12-21,5.169,5.169,5.169,5.169,-2.47%
2012-12-20,5.3,5.3,5.3,5.3,-1.12%
2012-12-19,5.36,5.36,5.36,5.36,-0.11%
2012-12-18,5.366,5.366,5.366,5.366,-1.56%
2012-12-17,5.451,5.451,5.451,5.451,1.53%
2012-12-14,5.369,5.369,5.369,5.369,-0.70%
2012-12-13,5.407,5.407,5.407,5.407,-0.42%
2012-12-12,5.43,5.43,5.43,5.43,0.70%
2012-12-11,5.392,5.392,5.392,5.392,1.51%
2012-12-10,5.312,5.312,5.312,5.312,-0.88%
2012-12-07,5.359,5.359,5.359,5.359,1.02%
2012-12-06,5.305,5.305,5.305,5.305,-2.52%
2012-12-05,5.442,5.442,5.442,5.442,-0.38%
2012-12-04,5.463,5.463,5.463,5.463,0.55%
2012-12-03,5.433,5.433,5.433,5.433,-0.55%
2012-11-30,5.463,5.463,5.463,5.463,-0.51%
2012-11-29,5.491,5.491,5.491,5.491,-0.31%
2012-11-28,5.508,5.508,5.508,5.508,0.24%
2012-11-27,5.495,5.495,5.495,5.495,-1.03%
2012-11-26,5.552,5.552,5.552,5.552,-1.25%
2012-11-23,5.622,5.622,5.622,5.622,-1.25%
2012-11-22,5.693,5.693,5.693,5.693,0.12%
2012-11-21,5.686,5.686,5.686,5.686,-0.25%
2012-11-20,5.7,5.7,5.7,5.7,0.23%
2012-11-19,5.687,5.687,5.687,5.687,-0.28%
2012-11-16,5.703,5.703,5.703,5.703,-0.82%
2012-11-15,5.75,5.75,5.75,5.75,0.79%
2012-11-14,5.705,5.705,5.705,5.705,1.10%
2012-11-13,5.643,5.643,5.643,5.643,0.77%
2012-11-09,5.6,5.6,5.6,5.6,1.23%
2012-11-08,5.532,5.532,5.532,5.532,-0.05%
2012-11-07,5.535,5.535,5.535,5.535,-1.02%
2012-11-06,5.592,5.592,5.592,5.592,-1.51%
2012-11-03,5.678,5.678,5.678,5.678,2.01%
2012-11-02,5.566,5.566,5.566,5.566,-2.27%
2012-11-01,5.695,5.695,5.695,5.695,1.53%
2012-10-31,5.609,5.609,5.609,5.609,0.39%
2012-10-30,5.587,5.587,5.587,5.587,0.76%
2012-10-29,5.545,5.545,5.545,5.545,0.91%
2012-10-26,5.495,5.495,5.495,5.495,-0.47%
2012-10-25,5.521,5.521,5.521,5.521,0.05%
2012-10-24,5.518,5.518,5.518,5.518,0.04%
2012-10-23,5.516,5.516,5.516,5.516,0.27%
2012-10-22,5.501,5.501,5.501,5.501,0.16%
2012-10-19,5.492,5.492,5.492,5.492,-1.65%
2012-10-18,5.584,5.584,5.584,5.584,0.65%
2012-10-17,5.548,5.548,5.548,5.548,0.73%
2012-10-16,5.508,5.508,5.508,5.508,0.44%
2012-10-12,5.484,5.484,5.484,5.484,-1.61%
