Release Date,Time,Actual,Forecast,Previous
"Nov 01, 2000 (Oct)",04:00,12.00%, ,12.00%
"Oct 01, 2000 (Sep)",04:00,12.00%, ,12.00%
"Sep 01, 2000 (Aug)",04:00,12.00%, ,12.00%
"Aug 01, 2000 (Jul)",04:00,12.00%, ,12.00%
"Jul 01, 2000 (Jun)",04:00,12.00%, ,12.00%
"Jun 01, 2000 (May)",04:00,12.00%, ,12.00%
"May 01, 2000 (Apr)",04:00,12.00%, ,12.00%
"Apr 01, 2000 (Mar)",04:00,12.00%, ,12.00%
"Mar 01, 2000 (Feb)",04:00,12.00%, ,12.00%
"Feb 01, 2000 (Jan)",04:00,12.00%, ,12.00%
"Jan 01, 2000 (Dec)",04:00,12.00%, ,13.00%
"Dec 01, 1999 (Nov)",04:00,13.00%, ,15.00%
"Nov 01, 1999 (Oct)",04:00,15.00%, ,16.00%
"Oct 01, 1999 (Sep)",04:00,16.00%, ,16.00%
"Sep 01, 1999 (Aug)",04:00,16.00%, ,17.00%
"Aug 01, 1999 (Jul)",04:00,17.00%, ,18.00%
"Jul 01, 1999 (Jun)",04:00,18.00%, ,18.00%
"Jun 01, 1999 (May)",04:00,18.00%, ,19.00%
"May 01, 1999 (Apr)",04:00,19.00%, ,20.00%
"Apr 01, 1999 (Mar)",04:00,20.00%, ,24.00%
"Mar 01, 1999 (Feb)",04:00,24.00%, ,26.00%
"Feb 01, 1999 (Jan)",04:00,26.00%, ,26.00%
"Jan 01, 1999 (Dec)",04:00,26.00%, ,28.00%
"Dec 01, 1998 (Nov)",04:00,28.00%, ,32.00%
"Nov 01, 1998 (Oct)",04:00,32.00%, ,32.00%
"Oct 01, 1998 (Sep)",04:00,32.00%, ,32.00%
"Sep 01, 1998 (Aug)",04:00,32.00%, ,32.00%
"Aug 01, 1998 (Jul)",04:00,32.00%, ,32.00%
"Jul 01, 1998 (Jun)",04:00,32.00%, ,32.00%
"Jun 01, 1998 (May)",04:00,32.00%, ,30.00%
"May 01, 1998 (Apr)",04:00,30.00%, ,30.00%
"Apr 01, 1998 (Mar)",04:00,30.00%, ,30.00%
"Mar 01, 1998 (Feb)",04:00,30.00%, ,27.00%
"Feb 01, 1998 (Jan)",04:00,27.00%, ,27.00%
"Jan 01, 1998 (Dec)",04:00,27.00%, ,27.00%
"Dec 01, 1997 (Nov)",04:00,27.00%, ,27.00%
"Nov 01, 1997 (Oct)",04:00,27.00%, ,27.00%
"Oct 01, 1997 (Sep)",04:00,27.00%, ,27.00%
"Sep 01, 1997 (Aug)",04:00,27.00%, ,27.50%
"Aug 01, 1997 (Jul)",04:00,27.50%, ,27.50%
"Jul 01, 1997 (Jun)",04:00,27.50%, ,27.50%
"Jun 01, 1997 (May)",04:00,27.50%, ,28.50%
"May 01, 1997 (Apr)",04:00,28.50%, ,28.50%
